frequency;value;uncertainty;phase
0.005;3.593e-11;9.66e-13;152.7
0.006;3.869e-11;6.872e-13;154
0.007;4.233e-11;6.262e-13;154.5
0.008;4.574e-11;6.188e-13;155.2
0.009;4.963e-11;5.894e-13;156.1
0.010;5.078e-11;6.427e-13;157.2
0.011;5.424e-11;6.123e-13;159.1
0.012;5.405e-11;6.131e-13;161
0.013;5.667e-11;6.382e-13;160
0.014;6.093e-11;6.611e-13;161.4
0.015;6.342e-11;7.992e-13;161.9
0.016;6.647e-11;8.901e-13;162.1
0.017;6.851e-11;9.964e-13;163.5
0.018;7.016e-11;1.214e-12;161.3
0.019;6.988e-11;1.316e-12;162.7
0.020;6.923e-11;1.751e-12;163.5
0.021;6.308e-11;2.101e-12;164.3
0.021;6.149e-11;2.992e-12;158.5
